obs_index,CooksD,threshold
2398,0.00013396917663275373,2.117825205296681e-05
2414,0.00011895972158989614,2.117825205296681e-05
2424,0.00011007982190636362,2.117825205296681e-05
2478,6.827569504760968e-05,2.117825205296681e-05
2479,8.369749354832128e-05,2.117825205296681e-05
2508,3.082461561513226e-05,2.117825205296681e-05
2510,7.474392125267294e-05,2.117825205296681e-05
2539,0.00023696512094332855,2.117825205296681e-05
2561,0.0002706244914034307,2.117825205296681e-05
2570,0.00022329874558391403,2.117825205296681e-05
2582,3.836934039283016e-05,2.117825205296681e-05
2586,0.0001185347756358141,2.117825205296681e-05
2613,5.1740572145415805e-05,2.117825205296681e-05
2617,3.495701324801816e-05,2.117825205296681e-05
2630,6.553626302249928e-05,2.117825205296681e-05
2663,9.417284676850497e-05,2.117825205296681e-05
2732,0.00010164691298952215,2.117825205296681e-05
2744,0.0001040592196370759,2.117825205296681e-05
2804,8.575813207434398e-05,2.117825205296681e-05
2812,4.741801014645982e-05,2.117825205296681e-05
2817,0.00012252876355677066,2.117825205296681e-05
2822,0.00011586436274499764,2.117825205296681e-05
2823,0.00012739043979426284,2.117825205296681e-05
2833,9.659838697405154e-05,2.117825205296681e-05
2870,7.418666101712043e-05,2.117825205296681e-05
3001,2.7944976961687786e-05,2.117825205296681e-05
3004,2.8378227470012365e-05,2.117825205296681e-05
3031,8.476393215241887e-05,2.117825205296681e-05
3044,5.220866894601328e-05,2.117825205296681e-05
3060,5.9494778095023495e-05,2.117825205296681e-05
3082,8.480341873466406e-05,2.117825205296681e-05
3083,5.193112491292421e-05,2.117825205296681e-05
3092,4.693905519618074e-05,2.117825205296681e-05
3108,2.2745660688555843e-05,2.117825205296681e-05
3112,7.493009610862017e-05,2.117825205296681e-05
3155,8.902926281306964e-05,2.117825205296681e-05
3156,3.36833283610456e-05,2.117825205296681e-05
3234,0.00014424693222521762,2.117825205296681e-05
3263,0.00019106129789675188,2.117825205296681e-05
3283,4.603443684705947e-05,2.117825205296681e-05
3293,2.836239159476411e-05,2.117825205296681e-05
3301,2.358376822243723e-05,2.117825205296681e-05
3303,2.8018119242638965e-05,2.117825205296681e-05
3310,6.370561156068535e-05,2.117825205296681e-05
3325,0.0001342928032123144,2.117825205296681e-05
3326,3.687691852244561e-05,2.117825205296681e-05
3345,5.503503866707554e-05,2.117825205296681e-05
3381,2.253961818036744e-05,2.117825205296681e-05
3391,3.248789118634201e-05,2.117825205296681e-05
3418,4.054501119037175e-05,2.117825205296681e-05
3467,3.3529653051343346e-05,2.117825205296681e-05
3473,0.00025902283836380023,2.117825205296681e-05
3498,6.283959553807216e-05,2.117825205296681e-05
3520,4.7991478270542163e-05,2.117825205296681e-05
3522,2.883694260947289e-05,2.117825205296681e-05
3528,4.079982875501203e-05,2.117825205296681e-05
3530,2.9451101250135998e-05,2.117825205296681e-05
3568,0.00018097480519712342,2.117825205296681e-05
3577,7.40556487612181e-05,2.117825205296681e-05
3578,4.407851257914004e-05,2.117825205296681e-05
3599,6.605671912204982e-05,2.117825205296681e-05
3630,9.861039443632253e-05,2.117825205296681e-05
3631,3.409543623870103e-05,2.117825205296681e-05
3639,4.072595672189673e-05,2.117825205296681e-05
3661,0.0002145479694082419,2.117825205296681e-05
3668,4.111643400090452e-05,2.117825205296681e-05
3681,0.0001240366487896288,2.117825205296681e-05
3682,0.0002132583344790994,2.117825205296681e-05
3693,8.969778302042899e-05,2.117825205296681e-05
3707,3.655634443325568e-05,2.117825205296681e-05
3735,8.92853507389561e-05,2.117825205296681e-05
3768,6.956220766522549e-05,2.117825205296681e-05
3794,2.7322740288111594e-05,2.117825205296681e-05
3808,4.8070609569279715e-05,2.117825205296681e-05
3841,0.0002153305088858029,2.117825205296681e-05
3842,2.688712274199809e-05,2.117825205296681e-05
3862,9.099211726010732e-05,2.117825205296681e-05
3894,4.51629632895298e-05,2.117825205296681e-05
3903,3.175861508772364e-05,2.117825205296681e-05
3913,7.537257461881426e-05,2.117825205296681e-05
3926,0.00013881384360844574,2.117825205296681e-05
3928,0.00012360321142217386,2.117825205296681e-05
3997,7.539486434319022e-05,2.117825205296681e-05
4025,2.1713183125680388e-05,2.117825205296681e-05
4028,8.622000509913171e-05,2.117825205296681e-05
4052,8.44527394359661e-05,2.117825205296681e-05
4055,4.994797850723154e-05,2.117825205296681e-05
4061,2.774067192076127e-05,2.117825205296681e-05
4097,8.723560339673059e-05,2.117825205296681e-05
4139,4.0818091248948747e-05,2.117825205296681e-05
4152,9.813372913575282e-05,2.117825205296681e-05
4203,3.262532524042497e-05,2.117825205296681e-05
4205,3.56504741810478e-05,2.117825205296681e-05
4238,4.7841152301704897e-05,2.117825205296681e-05
4241,0.00010461874074135815,2.117825205296681e-05
4242,3.923533809605572e-05,2.117825205296681e-05
4254,0.0001306601118653905,2.117825205296681e-05
4311,4.845223091196065e-05,2.117825205296681e-05
4320,3.844551719234992e-05,2.117825205296681e-05
4396,3.4490401430679615e-05,2.117825205296681e-05
4410,0.00019927209568066346,2.117825205296681e-05
4417,7.940555599784626e-05,2.117825205296681e-05
4430,8.25442048163383e-05,2.117825205296681e-05
4431,6.8366379956304e-05,2.117825205296681e-05
4432,6.799870409929668e-05,2.117825205296681e-05
4453,5.804343125320698e-05,2.117825205296681e-05
4465,0.00016346051105038092,2.117825205296681e-05
4486,6.404508281652773e-05,2.117825205296681e-05
4498,4.597002819973618e-05,2.117825205296681e-05
